"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.024518579E2,6.098976259E1,2.564380275E1,5.119786386E1,1.671302083E0,2.056354507E1,5.028885709E0,7.287905377E0
2.034518520E2,6.098977137E1,2.564380900E1,5.226307285E1,1.212908371E0,2.485430388E1,5.035842108E0,7.281390481E0
2.044518466E2,6.098978348E1,2.564382819E1,5.271034494E1,1.404378236E0,2.954996842E1,5.031945041E0,6.936575852E0
2.054518411E2,6.098979922E1,2.564383856E1,5.257396349E1,1.513367245E0,2.793428192E1,5.002463390E0,6.950385623E0
2.064518361E2,6.098981194E1,2.564384854E1,5.337997151E1,1.226078506E0,2.813389941E1,4.907773941E0,7.050809447E0
2.074518299E2,6.098982761E1,2.564386766E1,5.396839198E1,1.523720079E0,2.944867638E1,4.911457544E0,6.865188981E0
2.084518239E2,6.098982820E1,2.564388846E1,5.304136783E1,1.167200941E0,3.823855391E1,4.926334273E0,6.665704202E0
2.094518182E2,6.098984827E1,2.564390284E1,5.313759385E1,1.611352115E0,2.805167948E1,4.992757211E0,6.392285735E0
2.104518127E2,6.098985494E1,2.564391652E1,5.296241212E1,1.178746552E0,2.938179947E1,4.984398242E0,6.529998931E0
2.114518074E2,6.098986669E1,2.564393503E1,5.242459904E1,1.400597717E0,2.823057709E1,4.991318865E0,6.294849382E0
2.124518018E2,6.098988516E1,2.564395476E1,5.206983457E1,1.774913101E0,2.632396502E1,4.974218466E0,6.276492330E0
2.134517964E2,6.098989442E1,2.564395497E1,5.179706728E1,1.266249277E0,2.045563943E1,4.937940788E0,6.659841310E0
2.144517910E2,6.098991183E1,2.564397293E1,5.183673188E1,1.615562822E0,2.326270177E1,4.912921386E0,6.224794434E0
2.154517854E2,6.098992171E1,2.564398068E1,5.137119393E1,1.225497003E0,2.238474512E1,4.779106587E0,6.576705970E0
2.164517798E2,6.098993779E1,2.564399693E1,5.173966109E1,1.520740632E0,2.537019801E1,4.721338261E0,6.044905129E0
2.174517733E2,6.098995309E1,2.564399719E1,5.126499371E1,1.196641329E0,1.689476805E1,4.696817815E0,6.554724965E0
2.184517685E2,6.098997637E1,2.564401374E1,4.995401173E1,1.923925644E0,1.662376849E1,4.671581437E0,6.242240939E0
2.194517626E2,6.098999001E1,2.564403568E1,5.034838017E1,1.269817333E0,2.932091691E1,4.605501537E0,6.361538562E0
2.204517566E2,6.099002202E1,2.564407839E1,5.101019396E1,2.636713934E0,3.149584058E1,4.532236154E0,5.724337120E0
2.214517511E2,6.099002856E1,2.564408953E1,5.135621561E1,1.366013775E0,3.289206412E1,4.476277278E0,6.095883958E0
2.224517454E2,6.099004871E1,2.564411843E1,5.213951351E1,1.327634355E0,3.375958484E1,4.449113823E0,5.902769857E0
2.234517395E2,6.099006992E1,2.564413502E1,5.229888005E1,1.726112207E0,2.614897715E1,4.432239075E0,5.798233066E0
2.244517347E2,6.099009068E1,2.564415346E1,5.251808763E1,1.226874574E0,2.587883163E1,4.427040100E0,6.018471713E0
2.254517287E2,6.099012659E1,2.564419612E1,5.237844401E1,2.954898896E0,2.863265928E1,4.363498123E0,5.670137627E0
2.264517229E2,6.099013331E1,2.564420687E1,5.293923248E1,1.521903965E0,3.161231218E1,4.406340455E0,6.048899716E0
2.274517181E2,6.099015299E1,2.564422754E1,5.246829099E1,1.271348048E0,3.170925195E1,4.368782691E0,5.986287071E0
2.284517123E2,6.099017894E1,2.564424338E1,5.262048099E1,1.828086901E0,2.433343847E1,4.331114116E0,5.754919993E0
2.294517062E2,6.099019528E1,2.564425881E1,5.241644969E1,1.252167346E0,2.576351142E1,4.349842723E0,5.910413488E0
2.304517010E2,6.099022722E1,2.564428829E1,5.171804949E1,2.424844087E0,2.509957819E1,4.321657636E0,5.604770447E0
2.314516954E2,6.099024286E1,2.564430431E1,5.213033104E1,1.464645418E0,2.888806604E1,4.349764863E0,6.027406172E0
2.324516898E2,6.099026826E1,2.564432846E1,5.222436443E1,1.314339526E0,2.721294621E1,4.310488641E0,5.921866421E0
2.334516838E2,6.099029663E1,2.564435294E1,5.247787705E1,2.030404461E0,2.531846954E1,4.280098460E0,5.745811744E0
2.344516792E2,6.099033573E1,2.564437795E1,5.327378718E1,3.034684691E0,2.007586439E1,4.284349498E0,5.090311439E0
2.354516730E2,6.099036565E1,2.564440042E1,5.338705669E1,3.049181068E0,1.911618530E1,4.285285260E0,4.807926726E0
2.364516670E2,6.099039088E1,2.564440901E1,5.427050941E1,2.750026587E0,1.501003892E1,4.282716596E0,4.909915890E0
2.374516615E2,6.099041475E1,2.564442855E1,5.387911210E1,2.640486284E0,1.703020943E1,4.265197508E0,4.981904583E0
2.384516562E2,6.099043593E1,2.564444903E1,5.458157917E1,2.485266069E0,2.108249414E1,4.207055031E0,4.811068368E0
2.394516504E2,6.099045863E1,2.564446695E1,5.470709155E1,2.405378111E0,2.009426699E1,4.225193272E0,4.768769941E0
2.404516450E2,6.099048740E1,2.564448689E1,5.480059964E1,2.541289153E0,1.878892128E1,4.195259961E0,4.943829987E0
