"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
5.845188844E1,6.098786967E1,2.564262896E1,5.862537194E1,1.135476653E0,3.057321169E2,4.360866286E0,4.115871593E0
5.945188355E1,6.098787594E1,2.564260910E1,5.930568343E1,9.726334136E-1,3.031731132E2,4.446697191E0,3.782388997E0
6.045187831E1,6.098788497E1,2.564259845E1,5.973579744E1,1.077141463E0,3.055067238E2,4.504769658E0,3.700932992E0
6.145187318E1,6.098788846E1,2.564258174E1,5.979126233E1,1.010694808E0,3.097449137E2,4.597452115E0,3.708952494E0
6.245186770E1,6.098789646E1,2.564256338E1,5.989713184E1,1.039271251E0,3.047930060E2,4.715229641E0,3.704520853E0
6.345186257E1,6.098790483E1,2.564254346E1,6.027824330E1,1.110282204E0,3.071224940E2,4.649900426E0,3.668388615E0
6.445185804E1,6.098790810E1,2.564252534E1,6.031617988E1,1.129292874E0,3.042662791E2,4.630457959E0,3.802684470E0
6.545185244E1,6.098791665E1,2.564251980E1,6.034322328E1,1.158964465E0,3.087285612E2,4.575562291E0,4.694757716E0
6.645184731E1,6.098792277E1,2.564250674E1,5.995126141E1,1.132958700E0,3.068950516E2,4.594404702E0,4.913154418E0
6.745184195E1,6.098792458E1,2.564249007E1,5.969472331E1,1.088510716E0,3.030330047E2,4.520067385E0,4.795420937E0
6.845183718E1,6.098792673E1,2.564246054E1,6.099307483E1,1.160544445E0,2.976124685E2,4.492641515E0,4.694134803E0
6.945183170E1,6.098792929E1,2.564243931E1,6.108025061E1,1.120919864E0,2.979431750E2,4.522571105E0,4.814496256E0
7.045182586E1,6.098793711E1,2.564242041E1,6.109002272E1,1.197633428E0,3.029153210E2,4.507575937E0,4.767565058E0
7.145182097E1,6.098794130E1,2.564240429E1,6.094800231E1,1.190492684E0,3.055648666E2,4.475576428E0,4.804763238E0
7.245181537E1,6.098794804E1,2.564239555E1,6.097121680E1,1.043024620E0,3.128464605E2,4.448466912E0,4.765491528E0
7.345181000E1,6.098795502E1,2.564238302E1,6.059212603E1,1.038769663E0,3.183776534E2,4.530992395E0,4.944140470E0
7.445180535E1,6.098796430E1,2.564236899E1,6.061424708E1,1.111688309E0,3.186060857E2,4.522285516E0,5.034300427E0
7.545179987E1,6.098797240E1,2.564236051E1,6.022814952E1,1.083329679E0,3.218874277E2,4.589641678E0,5.018438829E0
7.645179391E1,6.098798633E1,2.564236053E1,5.938898698E1,1.188835655E0,3.338766086E2,4.581587815E0,5.138606882E0
