"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.689780083E0,3.271762010E-2,-1.243907422E-2,3.998033702E-2
1.699765083E0,4.654749110E-2,1.986386865E-2,5.795760155E-3
1.709750083E0,5.545241682E-2,2.822070926E-2,-3.524292290E-2
1.719736083E0,6.093931608E-2,2.450685024E-2,-4.302965999E-2
1.729721083E0,1.056562632E-2,9.776544571E-3,-2.079035997E-2
1.739706083E0,-2.666723197E-2,-1.083196700E-3,5.096959412E-2
1.749692083E0,-4.226743888E-2,7.422163188E-3,1.073572183E-1
1.759677083E0,-2.432352176E-2,1.142458230E-2,1.208502531E-1
1.769662083E0,-2.554730745E-2,1.004054636E-2,1.330416977E-1
1.779648083E0,-3.555406787E-2,-3.011608422E-3,1.142265272E-1
1.789633083E0,-4.307651080E-2,-3.788498729E-2,9.527336240E-2
1.799618083E0,-3.980312984E-2,-4.272648185E-2,7.592726469E-2
1.809604083E0,-4.122091519E-2,-5.412007391E-2,6.333937883E-2
1.819589083E0,-3.950269260E-2,-4.841465324E-2,5.656771839E-2
1.829574083E0,-3.127752397E-2,-5.357394397E-2,4.744372308E-2
1.839559083E0,-2.358658986E-2,-7.052969992E-2,5.565964580E-2
1.849545083E0,-2.157712111E-2,-5.790936202E-2,9.012313485E-2
1.859530083E0,-1.953081490E-2,-4.430435300E-2,1.138727707E-1
1.869515083E0,-7.619579807E-3,-1.992438734E-3,1.292562103E-1
1.879501083E0,2.036722256E-2,2.216913342E-2,1.245848697E-1
1.889486083E0,3.615625799E-2,1.952326834E-2,1.105720174E-1
1.899471083E0,1.182802191E-2,2.224807084E-2,1.229084730E-1
1.909457083E0,-2.245791279E-2,3.287860125E-2,1.421966833E-1
1.919442083E0,-4.046627719E-2,3.407231033E-2,1.627519852E-1
1.929427083E0,-5.036274450E-2,3.519614518E-2,1.700937492E-1
1.939413083E0,-5.361412531E-2,2.816983849E-2,1.561528176E-1
1.949398083E0,-4.632032678E-2,3.090107292E-2,1.325785983E-1
1.959383083E0,-3.554145981E-2,3.202929318E-2,1.542279142E-1
1.969369083E0,-2.958862882E-2,4.866637588E-2,1.714093727E-1
1.979354083E0,-2.638066359E-2,1.992292553E-2,1.786067104E-1
1.989339083E0,-4.909048174E-3,-3.311833709E-2,1.856917816E-1
1.999324083E0,5.732244775E-3,-4.687566608E-2,1.541846448E-1
2.009310083E0,-2.992221247E-2,-1.928937972E-2,9.498158634E-2
2.019295083E0,-6.947849846E-2,-1.133511990E-2,-1.295742989E-3
2.029280083E0,-7.602012578E-2,-8.222354650E-3,-9.742513776E-2
2.039266083E0,-8.603839790E-2,7.687919140E-3,-1.613457298E-1
2.049251083E0,-1.014713562E-1,1.061591238E-2,-1.878067195E-1
2.059236083E0,-1.064563451E-1,2.098741114E-2,-1.977844083E-1
2.069222083E0,-1.073707217E-1,4.067323208E-3,-2.200839347E-1
